LocationID,PeriodID,SubPlotNumber,Updated to 1
EFMO1,EFMOTweety2017May20,0,x
EFMO12,EFMOTweety2017May20,0,x
EFMO15,EFMOTweety2017May20,0,x
EFMO16,EFMOTweety2017May20,0,x
EFMO17,EFMOTweety2017May20,0,x
EFMO18,EFMOTweety2017May20,0,x
EFMO19,EFMOTweety2017May20,0,x
EFMO2,EFMOTweety2017May20,0,x
EFMO22,EFMOTweety2017May20,0,x
EFMO24,EFMOTweety2017May20,0,x
EFMO25,EFMOTweety2017May20,0,x
EFMO26,EFMOTweety2017May20,0,x
EFMO27,EFMOTweety2017May20,0,x
EFMO3,EFMOTweety2017May20,0,x
EFMO33,EFMOTweety2017May20,0,x
EFMO34,EFMOTweety2017May20,0,x
EFMO37,EFMOTweety2017May20,0,x
EFMO38,EFMOTweety2017May20,0,x
EFMO39,EFMOTweety2017May20,0,x
EFMO4,EFMOTweety2017May20,0,x
EFMO40,EFMOTweety2017May20,0,x
EFMO41,EFMOTweety2017May20,0,x
EFMO42,EFMOTweety2017May20,0,x
EFMO43,EFMOTweety2017May20,0,x
EFMO44,EFMOTweety2017May20,0,x
EFMO45,EFMOTweety2017May20,0,x
EFMO46,EFMOTweety2017May20,0,x
EFMO47,EFMOTweety2017May20,0,x
EFMO5,EFMOTweety2017May20,0,x
EFMO6,EFMOTweety2017May20,0,x
EFMO8,EFMOTweety2017May20,0,x
EFMO9,EFMOTweety2017May20,0,x
HEHO1,HEHOTweety2017May 24,0,x
HEHO10,HEHOTweety2017May 24,0,x
HEHO11,HEHOTweety2017May 24,0,x
HEHO12,HEHOTweety2017May 24,0,xx
HEHO13,HEHOTweety2017May 24,0,x
HEHO14,HEHOTweety2017May 24,0,x
HEHO15,HEHOTweety2017May 24,0,xx
HEHO17,HEHOTweety2017May 24,0,x
HEHO18,HEHOTweety2017May 24,0,x
HEHO19,HEHOTweety2017May 24,0,xx
HEHO2,HEHOTweety2017May 24,0,x
HEHO20,HEHOTweety2017May 24,0,x
HEHO21,HEHOTweety2017May 24,0,x
HEHO22,HEHOTweety2017May 24,0,x
HEHO23,HEHOTweety2017May 24,0,x
HEHO24,HEHOTweety2017May 24,0,x
HEHO25,HEHOTweety2017May 24,0,x
HEHO26,HEHOTweety2017May 24,0,x
HEHO27,HEHOTweety2017May 24,0,x
HEHO28,HEHOTweety2017May 24,0,x
HEHO29,HEHOTweety2017May 24,0,x
HEHO3,HEHOTweety2017May 24,0,x
HEHO30,HEHOTweety2017May 24,0,x
HEHO31,HEHOTweety2017May 24,0,x
HEHO32,HEHOTweety2017May 24,0,x
HEHO33,HEHOTweety2017May 24,0,x
HEHO34,HEHOTweety2017May 24,0,x
HEHO35,HEHOTweety2017May 24,0,x
HEHO36,HEHOTweety2017May 24,0,x
HEHO37,HEHOTweety2017May 24,0,x
HEHO38,HEHOTweety2017May 24,0,x
HEHO4,HEHOTweety2017May 24,0,x
HEHO5,HEHOTweety2017May 24,0,x
HEHO6,HEHOTweety2017May 24,0,x
HEHO7,HEHOTweety2017May 24,0,x
HEHO8,HEHOTweety2017May 24,0,x
HEHO9,HEHOTweety2017May 24,0,x
HOME1,HOMETweety2017May16,0,x
HOME10,HOMETweety2017May16,0,x
HOME11,HOMETweety2017May16,0,x
HOME12,HOMETweety2017May16,0,x
HOME13,HOMETweety2017May16,0,x
HOME14,HOMETweety2017May16,0,x
HOME15,HOMETweety2017May16,0,x
HOME16,HOMETweety2017May16,0,x
HOME17,HOMETweety2017May16,0,x
HOME18,HOMETweety2017May16,0,x
HOME19,HOMETweety2017May16,0,x
HOME2,HOMETweety2017May16,0,x
HOME20,HOMETweety2017May16,0,x
HOME21,HOMETweety2017May16,0,x
HOME23,HOMETweety2017May16,0,x
HOME24,HOMETweety2017May16,0,x
HOME25,HOMETweety2017May16,0,x
HOME26,HOMETweety2017May16,0,x
HOME27,HOMETweety2017May16,0,x
HOME28,HOMETweety2017May16,0,x
HOME29,HOMETweety2017May16,0,x
HOME3,HOMETweety2017May16,0,x
HOME30,HOMETweety2017May16,0,x
HOME31,HOMETweety2017May16,0,x
HOME32,HOMETweety2017May16,0,x
HOME33,HOMETweety2017May16,0,x
HOME35,HOMETweety2017May16,0,x
HOME36,HOMETweety2017May16,0,x
HOME37,HOMETweety2017May16,0,x
HOME38,HOMETweety2017May16,0,x
HOME39,HOMETweety2017May16,0,x
HOME4,HOMETweety2017May16,0,x
HOME40,HOMETweety2017May16,0,x
HOME43,HOMETweety2017May16,0,x
HOME44,HOMETweety2017May16,0,x
HOME45,HOMETweety2017May16,0,x
HOME46,HOMETweety2017May16,0,x
HOME47,HOMETweety2017May16,0,x
HOME5,HOMETweety2017May16,0,x
HOME7,HOMETweety2017May16,0,x
HOME8,HOMETweety2017May16,0,x
PIPE1,PIPETweety2017May18,0,x
PIPE10,PIPETweety2017May18,0,x
PIPE11,PIPETweety2017May18,0,x
PIPE12,PIPETweety2017May18,0,x
PIPE13,PIPETweety2017May18,0,x
PIPE14,PIPETweety2017May18,0,x
PIPE15,PIPETweety2017May18,0,x
PIPE16,PIPETweety2017May18,0,x
PIPE17,PIPETweety2017May18,0,x
PIPE18,PIPETweety2017May18,0,x
PIPE19,PIPETweety2017May18,0,x
PIPE2,PIPETweety2017May18,0,x
PIPE20,PIPETweety2017May18,0,x
PIPE21,PIPETweety2017May18,0,x
PIPE22,PIPETweety2017May18,0,x
PIPE23,PIPETweety2017May18,0,x
PIPE24,PIPETweety2017May18,0,x
PIPE25,PIPETweety2017May18,0,x
PIPE26,PIPETweety2017May18,0,x
PIPE27,PIPETweety2017May18,0,x
PIPE28,PIPETweety2017May18,0,x
PIPE29,PIPETweety2017May18,0,x
PIPE3,PIPETweety2017May18,0,x
PIPE30,PIPETweety2017May18,0,x
PIPE31,PIPETweety2017May18,0,x
PIPE32,PIPETweety2017May18,0,x
PIPE33,PIPETweety2017May18,0,x
PIPE34,PIPETweety2017May18,0,x
PIPE35,PIPETweety2017May18,0,x
PIPE36,PIPETweety2017May18,0,x
PIPE37,PIPETweety2017May18,0,x
PIPE38,PIPETweety2017May18,0,x
PIPE39,PIPETweety2017May18,0,x
PIPE4,PIPETweety2017May18,0,x
PIPE40,PIPETweety2017May18,0,x
PIPE41,PIPETweety2017May18,0,x
PIPE42,PIPETweety2017May18,0,x
PIPE5,PIPETweety2017May18,0,x
PIPE6,PIPETweety2017May18,0,x
PIPE7,PIPETweety2017May18,0,x
PIPE8,PIPETweety2017May18,0,x
PIPE9,PIPETweety2017May18,0,x
